Epoch [1/100], Loss: 0.6795, Accuracy: 0.7760
Epoch [2/100], Loss: 0.5177, Accuracy: 0.8218
Epoch [3/100], Loss: 0.4851, Accuracy: 0.8335
Epoch [4/100], Loss: 0.4681, Accuracy: 0.8390
Epoch [5/100], Loss: 0.4560, Accuracy: 0.8434
Epoch [6/100], Loss: 0.4477, Accuracy: 0.8467
Epoch [7/100], Loss: 0.4411, Accuracy: 0.8486
Epoch [8/100], Loss: 0.4354, Accuracy: 0.8508
Epoch [9/100], Loss: 0.4315, Accuracy: 0.8516
Epoch [10/100], Loss: 0.4272, Accuracy: 0.8535
Epoch [11/100], Loss: 0.4243, Accuracy: 0.8539
Epoch [12/100], Loss: 0.4215, Accuracy: 0.8555
Epoch [13/100], Loss: 0.4191, Accuracy: 0.8565
Epoch [14/100], Loss: 0.4170, Accuracy: 0.8564
Epoch [15/100], Loss: 0.4148, Accuracy: 0.8568
Epoch [16/100], Loss: 0.4127, Accuracy: 0.8582
Epoch [17/100], Loss: 0.4111, Accuracy: 0.8586
Epoch [18/100], Loss: 0.4095, Accuracy: 0.8591
Epoch [19/100], Loss: 0.4078, Accuracy: 0.8596
Epoch [20/100], Loss: 0.4066, Accuracy: 0.8597
Epoch [21/100], Loss: 0.4054, Accuracy: 0.8608
Epoch [22/100], Loss: 0.4038, Accuracy: 0.8610
Epoch [23/100], Loss: 0.4029, Accuracy: 0.8615
Epoch [24/100], Loss: 0.4018, Accuracy: 0.8617
Epoch [25/100], Loss: 0.4008, Accuracy: 0.8621
Epoch [26/100], Loss: 0.3994, Accuracy: 0.8621
Epoch [27/100], Loss: 0.3983, Accuracy: 0.8628
Epoch [28/100], Loss: 0.3976, Accuracy: 0.8629
Epoch [29/100], Loss: 0.3967, Accuracy: 0.8631
Epoch [30/100], Loss: 0.3962, Accuracy: 0.8633
Epoch [31/100], Loss: 0.3950, Accuracy: 0.8635
Epoch [32/100], Loss: 0.3943, Accuracy: 0.8642
Epoch [33/100], Loss: 0.3936, Accuracy: 0.8639
